x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
671493.24,7186307.13,671486.12,7186304.07,7.75,1862353,distribuicao,distribuicao,PEAD,32.0,4.0
675406.56,7171539.1,675411.18,7171552.81,14.468,3554921,distribuicao,conexao,PEAD,160.0,4.0
675411.18,7171552.81,675457.3,7171540.61,47.706,3554921,conexao,distribuicao,PEAD,160.0,4.0
675457.3,7171540.61,675802.44,7171449.4,356.989,3554865,distribuicao,distribuicao,PEAD,160.0,4.0
476252.37,7424879.8,476254.4,7424879.33,2.084,4546349,distribuicao,conexao,AC,10.0,7.0
476254.4,7424879.33,476254.25,7424877.76,1.577,4546349,conexao,conexao,AC,10.0,7.0
476254.25,7424877.76,476214.39,7424882.23,40.11,4546349,conexao,conexao,AC,10.0,7.0
476214.39,7424882.23,476094.43,7424883.58,119.968,4546349,conexao,conexao,AC,10.0,7.0
476094.43,7424883.58,476056.47,7424881.56,38.009,4546349,conexao,conexao,AC,10.0,7.0
476056.47,7424881.56,476033.07,7424884.11,23.538,4546349,conexao,conexao,AC,10.0,7.0
476033.07,7424884.11,475994.55,7424881.59,38.608,4546349,conexao,conexao,AC,10.0,7.0
475994.55,7424881.59,475954.6,7424882.17,39.954,4546349,conexao,conexao,AC,10.0,7.0
475954.6,7424882.17,475954.67,7424879.97,2.201,4546349,conexao,conexao,AC,10.0,7.0
475954.67,7424879.97,475856.04,7424877.16,98.67,4546349,conexao,conexao,AC,10.0,7.0
475856.04,7424877.16,475853.64,7424840.04,37.198,4546349,conexao,conexao,AC,10.0,7.0
475853.64,7424840.04,475809.54,7424842.26,44.156,4546349,conexao,conexao,AC,10.0,7.0
475809.54,7424842.26,475772.73,7424842.09,36.81,4546349,conexao,conexao,AC,10.0,7.0
475772.73,7424842.09,475607.65,7424852.21,165.39,4546349,conexao,conexao,AC,10.0,7.0
475607.65,7424852.21,475535.75,7424865.77,73.168,4546349,conexao,conexao,AC,10.0,7.0
475535.75,7424865.77,475290.55,7424924.3,252.089,4546349,conexao,conexao,AC,10.0,7.0
475290.55,7424924.3,475181.93,7424952.84,112.307,4546349,conexao,distribuicao,AC,10.0,7.0
475661.31,7426639.43,475662.31,7426639.44,1.0,4545158,distribuicao,distribuicao,PEAD,125.0,7.0
475660.81,7426639.43,475661.31,7426639.43,0.5,4545148,distribuicao,distribuicao,PEAD,160.0,7.0
475660.81,7426639.43,475602.83,7426639.66,57.98,4545204,distribuicao,conexao,PEAD,200.0,7.0
475602.83,7426639.66,475603.36,7426379.62,260.041,4545204,conexao,conexao,PEAD,200.0,7.0
475603.36,7426379.62,475601.56,7425999.79,379.834,4545204,conexao,conexao,PEAD,200.0,7.0
475601.56,7425999.79,475605.16,7425796.95,202.872,4545204,conexao,distribuicao,PEAD,200.0,7.0
475572.7,7425765.06,475582.95,7425760.49,11.223,4544930,distribuicao,conexao,PEAD,200.0,7.0
475582.95,7425760.49,475588.77,7425804.23,44.126,4544930,conexao,conexao,PEAD,200.0,7.0
475588.77,7425804.23,475606.01,7425797.93,18.355,4544930,conexao,distribuicao,PEAD,200.0,7.0
475605.16,7425796.95,475606.01,7425797.93,1.297,4544901,distribuicao,distribuicao,PEAD,200.0,7.0
475722.97,7425722.5,475735.6,7425710.41,17.484,3602864,distribuicao,conexao,PEAD,200.0,7.0
475735.6,7425710.41,475747.18,7425696.31,18.246,3602864,conexao,conexao,PEAD,200.0,7.0
475747.18,7425696.31,475778.15,7425666.87,42.73,3602864,conexao,conexao,PEAD,200.0,7.0
475778.15,7425666.87,475788.76,7425652.19,18.113,3602864,conexao,conexao,PEAD,200.0,7.0
475788.76,7425652.19,475835.49,7425560.71,102.724,3602864,conexao,conexao,PEAD,200.0,7.0
475835.49,7425560.71,475856.67,7425504.85,59.741,3602864,conexao,conexao,PEAD,200.0,7.0
475856.67,7425504.85,475852.45,7425503.17,4.542,3602864,conexao,conexao,PEAD,200.0,7.0
475852.45,7425503.17,475866.61,7425455.91,49.336,3602864,conexao,conexao,PEAD,200.0,7.0
475866.61,7425455.91,475924.88,7425311.22,155.983,3602864,conexao,conexao,PEAD,200.0,7.0
475924.88,7425311.22,475951.52,7425235.43,80.336,3602864,conexao,conexao,PEAD,200.0,7.0
475951.52,7425235.43,475966.77,7425168.99,68.168,3602864,conexao,conexao,PEAD,200.0,7.0
475966.77,7425168.99,475977.17,7425101.59,68.198,3602864,conexao,conexao,PEAD,200.0,7.0
475977.17,7425101.59,475979.33,7425073.79,27.884,3602864,conexao,conexao,PEAD,200.0,7.0
475979.33,7425073.79,475982.51,7425061.77,12.434,3602864,conexao,conexao,PEAD,200.0,7.0
475982.51,7425061.77,475988.38,7425050.75,12.486,3602864,conexao,conexao,PEAD,200.0,7.0
475988.38,7425050.75,475996.92,7425041.67,12.465,3602864,conexao,conexao,PEAD,200.0,7.0
475996.92,7425041.67,476007.68,7425035.52,12.394,3602864,conexao,conexao,PEAD,200.0,7.0
476007.68,7425035.52,476023.28,7425031.34,16.15,3602864,conexao,distribuicao,PEAD,200.0,7.0
475722.97,7425722.5,475817.0,7425712.0,94.614,3599747,distribuicao,conexao,PEAD,200.0,7.0
